iter	Logloss
0	0.6884236691
1	0.6844843041
2	0.6803787411
3	0.6768947355
4	0.672229203
5	0.6677997152
6	0.6638362513
7	0.6587497921
8	0.6546684892
9	0.651752176
10	0.6474305328
11	0.6427900519
12	0.6391796745
13	0.635977259
14	0.6320275701
15	0.6297822187
16	0.6254575434
17	0.6222874592
18	0.6188708071
19	0.6154558548
20	0.6114062077
21	0.6082125125
22	0.6047966266
23	0.6015230229
24	0.5976587124
25	0.5957783659
26	0.592758434
27	0.5898100574
28	0.5865403203
29	0.5843949247
30	0.5810750119
31	0.5776360477
32	0.5749093599
33	0.5726095922
34	0.5699138865
35	0.5676064298
36	0.564428717
37	0.5617908097
38	0.5591544589
39	0.5563262682
40	0.5529437224
41	0.549936566
42	0.5473807404
43	0.5449844867
44	0.5434456822
45	0.5412493139
46	0.5387103678
47	0.536407449
48	0.5335666935
49	0.5313164555
50	0.5289680135
51	0.526896901
52	0.5244944084
53	0.5221812114
54	0.5201831237
55	0.5182433864
56	0.5161995921
57	0.5140387863
58	0.5123859568
59	0.5103071314
60	0.5079101048
61	0.5061832806
62	0.5042319032
63	0.5017265835
64	0.5001439444
65	0.4990530938
66	0.4969570498
67	0.4956858209
68	0.4934313887
69	0.4910561709
70	0.488772683
71	0.4867371168
72	0.484515567
73	0.4823816592
74	0.4806024011
75	0.4788851291
76	0.4772234145
77	0.4754413247
78	0.4746321288
79	0.4727985613
80	0.4715916422
81	0.4704150434
82	0.468793731
83	0.4671559742
84	0.4653553374
85	0.4635448719
86	0.4618364015
87	0.4609605143
88	0.4598958533
89	0.4592079988
90	0.457728498
91	0.4561815199
92	0.454850153
93	0.4534538831
94	0.4525861692
95	0.4509539727
96	0.4493799106
97	0.4480656088
98	0.4466410573
99	0.4451029391
100	0.4442986386
101	0.4426196035
102	0.4415711048
103	0.4405686563
104	0.4389094589
105	0.4384507439
106	0.4374197574
107	0.4364977658
108	0.4358239703
109	0.4347665481
110	0.433447118
111	0.4322747394
112	0.4311367591
113	0.4302011547
114	0.4293747522
115	0.4283479941
116	0.4275299202
117	0.4262058885
118	0.4251705523
119	0.424194468
120	0.4239592339
121	0.422885852
122	0.421650772
123	0.4210913
124	0.4199451513
125	0.4194908393
126	0.4181343696
127	0.416825664
128	0.415616287
129	0.414790843
130	0.4140693122
131	0.4132940014
132	0.4121664026
133	0.4114256522
134	0.4107340109
135	0.4099846358
136	0.4090574954
137	0.4084871474
138	0.4078414007
139	0.4072560389
140	0.4063198201
141	0.4052795288
142	0.4045349947
143	0.4036279608
144	0.4032905938
145	0.4024443985
146	0.402117269
147	0.4012120463
148	0.400396213
149	0.3996374359
150	0.3989221381
151	0.3980832753
152	0.3973030972
153	0.3967832715
154	0.3964162398
155	0.3957857483
156	0.3950653537
157	0.3948728363
158	0.3939524786
159	0.3933108447
160	0.3927630598
161	0.3919600919
162	0.3912035017
163	0.3906727643
164	0.3903413002
165	0.3896435257
166	0.3893301949
167	0.3886167742
168	0.3880158102
169	0.3870491973
170	0.3865405012
171	0.3858970181
172	0.385351468
173	0.3848303078
174	0.3842858227
175	0.3835901404
176	0.3828164628
177	0.3822656674
178	0.3817971519
179	0.3816613871
180	0.3810470721
181	0.3802632423
182	0.3801841515
183	0.3791468045
184	0.3786657183
185	0.3780161154
186	0.3774131858
187	0.3771444144
188	0.3765486718
189	0.375874353
190	0.375157798
191	0.3746725852
192	0.3741387109
193	0.3737000204
194	0.3734147488
195	0.3729399866
196	0.372710355
197	0.3720607713
198	0.371221966
199	0.3705580216
200	0.3703048
201	0.3696282357
202	0.3691638605
203	0.3687794411
204	0.3682408548
205	0.3677006762
206	0.3670949315
207	0.3664448851
208	0.3659587762
209	0.3655831707
210	0.3650649769
211	0.3643197621
212	0.3639077516
213	0.3636647244
214	0.3631702952
215	0.3627017183
216	0.3622584186
217	0.3620145648
218	0.3616104169
219	0.3609822611
220	0.360685777
221	0.3605713077
222	0.3600645336
223	0.3596020443
224	0.3593354704
225	0.3588453003
226	0.3584542191
227	0.3580785346
