iter	Passed	Remaining
0	1	1457
1	2	1483
2	4	1517
3	6	1522
4	7	1585
5	9	1581
6	11	1675
7	14	1805
8	16	1863
9	19	1919
10	22	1993
11	24	2043
12	27	2059
13	28	2032
14	31	2060
15	32	2000
16	34	2012
17	36	2002
18	38	2007
19	41	2012
20	43	2012
21	44	1993
22	46	1978
23	48	1973
24	50	1960
25	50	1904
26	52	1890
27	53	1868
28	55	1855
29	56	1831
30	58	1820
31	59	1811
32	61	1807
33	62	1787
34	64	1787
35	66	1791
36	68	1795
37	71	1800
38	73	1804
39	75	1808
40	77	1813
41	79	1816
42	81	1819
43	83	1815
44	84	1802
45	87	1813
46	89	1812
47	91	1807
48	94	1824
49	96	1828
50	97	1818
51	99	1820
52	101	1817
53	103	1807
54	105	1810
55	106	1802
56	108	1799
57	110	1796
58	111	1774
59	113	1772
60	115	1774
61	116	1764
62	118	1758
63	120	1769
64	122	1761
65	123	1753
66	125	1750
67	126	1737
68	128	1740
69	131	1748
70	133	1742
71	134	1735
72	136	1734
73	138	1727
74	140	1734
75	142	1738
76	145	1738
77	147	1741
78	148	1730
79	150	1733
80	152	1726
81	154	1725
82	156	1728
83	158	1731
84	161	1733
85	163	1736
86	165	1739
87	167	1731
88	168	1723
89	169	1718
90	171	1713
91	173	1713
92	176	1716
93	177	1711
94	178	1703
95	180	1696
96	182	1696
97	184	1698
98	186	1695
99	187	1686
100	188	1676
101	190	1675
102	192	1675
103	194	1672
104	196	1672
105	196	1659
106	198	1654
107	199	1649
108	200	1639
109	202	1634
110	202	1623
111	204	1618
112	205	1614
113	206	1601
114	207	1594
115	208	1589
116	210	1587
117	211	1582
118	214	1585
119	216	1585
120	217	1579
121	219	1581
122	222	1585
123	223	1575
124	224	1569
125	225	1563
126	227	1564
127	229	1564
128	231	1564
129	233	1563
130	235	1563
131	237	1563
132	239	1563
133	242	1565
134	244	1563
135	245	1562
136	247	1561
137	249	1560
138	251	1557
139	253	1556
140	255	1555
141	257	1554
142	259	1553
143	261	1552
144	261	1544
145	263	1543
146	265	1537
147	267	1538
148	269	1537
149	271	1535
150	272	1533
151	273	1524
152	273	1515
153	274	1507
154	274	1499
155	275	1490
156	276	1482
157	276	1473
158	277	1465
159	277	1457
160	278	1449
161	278	1441
162	279	1433
163	279	1425
164	280	1417
165	280	1409
166	281	1402
167	281	1395
168	282	1387
169	282	1380
170	283	1372
171	283	1365
172	284	1358
173	284	1350
174	285	1343
175	287	1344
176	288	1342
177	289	1335
178	289	1328
179	289	1320
180	290	1313
181	290	1307
182	291	1299
183	291	1293
184	292	1286
185	292	1280
186	293	1274
187	293	1267
188	293	1261
189	294	1255
190	294	1248
191	295	1242
192	295	1236
193	296	1230
194	296	1224
195	297	1218
196	297	1212
197	297	1206
198	298	1201
199	298	1195
200	299	1190
201	299	1184
202	300	1179
203	300	1173
204	301	1168
205	302	1164
206	302	1159
207	303	1154
208	303	1149
209	304	1144
210	304	1139
211	305	1133
212	305	1130
213	306	1124
214	306	1120
215	307	1115
216	307	1110
217	308	1105
218	308	1100
219	309	1095
220	309	1090
221	309	1085
222	310	1081
223	310	1076
224	311	1072
225	311	1067
226	312	1063
227	312	1058
228	313	1054
229	313	1050
230	314	1045
231	314	1041
232	315	1037
233	315	1033
234	316	1029
235	316	1024
236	317	1020
237	317	1015
238	317	1011
239	318	1007
240	318	1003
241	319	999
242	319	996
243	320	992
244	320	988
245	321	984
246	321	980
247	321	976
248	322	972
249	322	968
250	323	965
251	323	961
252	324	957
253	324	954
254	325	950
255	325	946
256	326	943
257	326	939
258	327	936
259	327	932
260	328	929
261	328	926
262	329	922
263	329	919
264	330	915
265	330	911
266	330	908
267	331	905
268	331	902
269	332	898
270	332	895
271	333	891
272	333	888
273	334	885
274	334	882
275	335	879
276	336	878
277	337	876
278	337	873
279	339	873
280	341	872
281	341	869
282	343	870
283	344	868
284	346	868
285	347	867
286	348	864
287	349	863
288	350	862
289	351	861
290	352	858
291	353	857
292	354	856
293	356	855
294	358	855
295	358	852
296	360	853
297	362	852
298	364	853
299	365	853
300	366	850
301	366	847
302	367	844
303	367	841
304	367	838
305	368	835
306	368	832
307	369	829
308	369	826
309	370	824
310	370	820
311	371	818
312	371	815
313	372	812
314	373	811
315	373	808
316	374	806
317	374	804
318	375	801
319	375	798
320	376	796
321	376	793
322	377	790
323	377	788
324	378	785
325	378	783
326	379	780
327	379	778
328	380	775
329	380	772
330	381	771
331	383	772
332	385	772
333	387	771
334	389	772
335	391	772
336	392	772
337	394	773
338	396	773
339	398	773
340	400	774
341	402	774
342	403	772
343	404	770
344	405	770
345	407	770
346	410	772
347	410	769
348	412	769
349	413	768
350	415	768
351	416	766
352	417	765
353	418	762
354	419	761
355	419	759
356	420	758
357	422	757
358	423	757
359	426	757
360	426	755
361	428	755
362	430	755
363	431	753
364	433	753
365	434	752
366	436	752
367	437	751
368	438	749
369	439	748
370	440	746
371	440	744
372	441	742
373	442	740
374	442	738
375	444	736
376	444	734
377	445	732
378	445	729
379	445	727
380	446	725
381	446	723
382	447	720
383	447	718
384	448	716
385	448	713
386	449	711
387	449	709
388	450	707
389	450	705
390	451	702
391	451	700
392	452	698
393	452	696
394	453	693
395	453	691
396	454	689
397	454	687
398	454	685
399	455	683
400	455	681
401	456	678
402	456	676
403	457	674
404	457	672
405	458	670
406	458	668
407	459	666
408	459	664
409	460	662
410	460	659
411	460	657
412	461	655
413	461	653
414	462	651
415	462	649
416	463	647
417	463	645
418	464	643
419	464	641
420	465	639
421	465	637
422	466	636
423	466	634
424	467	632
425	467	630
426	468	628
427	468	626
428	469	624
429	469	622
430	469	620
431	470	618
432	470	616
433	471	614
434	471	612
435	472	610
436	472	609
437	473	607
438	473	605
439	474	603
440	474	601
441	475	599
442	475	597
443	476	596
444	476	594
445	476	592
446	477	590
447	477	588
448	478	586
449	478	584
450	479	583
451	479	581
452	480	579
453	480	577
454	481	576
455	481	574
456	481	572
457	482	570
458	482	569
459	483	567
460	483	565
461	484	564
462	484	562
463	485	560
464	485	558
465	486	556
466	486	555
467	486	553
468	487	552
469	488	550
470	488	548
471	489	547
472	489	545
473	490	543
474	490	542
475	491	541
476	492	540
477	493	538
478	494	537
479	496	537
480	496	536
481	497	534
482	497	532
483	498	531
484	498	529
485	499	528
486	499	526
487	500	524
488	500	523
489	501	521
490	501	520
491	502	518
492	502	516
493	503	515
494	503	513
495	504	512
496	504	510
497	505	509
498	505	507
499	506	506
500	506	504
501	506	502
502	507	501
503	507	499
504	508	498
505	508	496
506	509	495
507	509	493
508	510	492
509	510	490
510	510	488
511	511	487
512	511	485
513	512	484
514	512	483
515	513	481
516	513	479
517	514	478
518	514	476
519	515	475
520	515	474
521	516	472
522	516	471
523	517	469
524	517	468
525	518	466
526	518	465
527	519	463
528	519	462
529	520	461
530	521	460
531	522	459
532	522	457
533	523	456
534	523	455
535	524	453
536	524	452
537	525	450
538	525	449
539	526	448
540	526	447
541	527	445
542	529	445
543	529	443
544	531	443
545	532	442
546	533	441
547	533	440
548	534	438
549	534	437
550	534	435
551	535	434
552	535	433
553	536	431
554	536	430
555	537	429
556	537	427
557	538	426
558	538	424
559	539	423
560	539	422
561	540	420
562	540	419
563	541	418
564	541	416
565	541	415
566	542	414
567	542	412
568	543	411
569	543	410
570	544	408
571	544	407
572	545	406
573	545	404
574	546	403
575	546	402
576	546	400
577	547	399
578	547	398
579	548	397
580	548	395
581	549	394
582	549	393
583	550	391
584	550	390
585	551	389
586	551	388
587	551	386
588	552	385
589	552	384
590	553	382
591	553	381
592	554	380
593	554	379
594	555	377
595	555	376
596	556	375
597	556	374
598	556	372
599	557	371
600	557	370
601	558	369
602	558	367
603	559	366
604	559	365
605	560	364
606	560	363
607	561	361
608	561	360
609	562	359
610	562	358
611	563	357
612	563	355
613	564	354
614	564	353
615	565	352
616	567	351
617	568	351
618	570	351
619	571	350
620	573	349
621	574	349
622	575	348
623	578	348
624	578	347
625	580	346
626	580	345
627	582	345
628	585	345
629	586	344
630	587	343
631	588	342
632	589	341
633	591	341
634	591	340
635	592	338
636	593	338
637	595	337
638	597	337
639	599	337
640	601	336
641	604	336
642	605	336
643	606	335
644	607	334
645	609	333
646	610	333
647	611	332
648	614	332
649	615	331
650	617	331
651	619	330
652	621	330
653	623	330
654	626	329
655	628	329
656	629	328
657	631	328
658	633	327
659	635	327
660	637	326
661	639	326
662	641	325
663	642	324
664	644	324
665	645	323
666	647	323
667	649	322
668	651	322
669	653	321
670	655	321
671	657	320
672	658	320
673	660	319
674	662	318
675	664	318
676	666	318
677	668	317
678	669	316
679	669	315
680	671	314
681	673	313
682	675	313
683	676	312
684	677	311
685	679	310
686	679	309
687	680	308
688	682	307
689	682	306
690	683	305
691	685	304
692	686	304
693	689	303
694	690	302
695	690	301
696	692	301
697	694	300
698	696	300
699	699	299
700	701	299
701	703	298
702	705	298
703	707	297
704	709	297
705	711	296
706	712	295
707	713	294
708	715	293
709	716	292
710	716	291
711	717	290
712	718	289
713	720	288
714	721	287
715	722	286
716	723	285
717	725	284
718	726	283
719	727	283
720	729	282
721	730	281
722	731	280
723	732	279
724	733	278
725	733	276
726	735	276
727	735	274
728	737	274
729	739	273
730	740	272
731	742	271
732	743	270
733	745	270
734	746	269
735	748	268
736	750	267
737	750	266
738	752	265
739	753	264
740	755	264
741	756	263
742	758	262
743	760	261
744	761	260
745	763	260
746	764	258
747	766	258
748	768	257
749	769	256
750	771	255
751	772	254
752	774	253
753	775	253
754	777	252
755	778	251
756	780	250
757	782	249
758	783	248
759	785	247
760	787	247
761	789	246
762	790	245
763	793	245
764	795	244
765	797	243
766	799	242
767	801	241
768	802	241
769	803	239
770	803	238
771	804	237
772	805	236
773	807	235
774	808	234
775	808	233
776	809	232
777	811	231
778	813	230
779	815	229
780	816	228
781	817	228
782	819	227
783	820	226
784	822	225
785	824	224
786	826	223
787	827	222
788	828	221
789	829	220
790	831	219
791	832	218
792	833	217
793	836	216
794	837	215
795	838	214
796	839	213
797	840	212
